id,incident_date,incident_time,reporting_channel,follow_up_status,is_anonymous,created_at,updated_at,location,incident_type,severity_level,victim_age,victim_gender,perpetrator_relationship,support_provided,notes,is_acknowledged,acknowledged_at,last_verified_location,location_confidence,location_source,latitude,location_accuracy,longitude,reporter_type
11,1/8/2025,16:58,Dashboard,Ongoing,FALSE,1/8/2025 5:00,1/9/2025 9:00,Onitsha,Harassment,High,15,Female,Stranger,Legal Aid,A girl in my office has been visibly distressed. I found out she is being harassed by a senior colleague. She is afraid of losing her job so I am reporting.,FALSE,,Onitsha,medium,gps,6.153985,12.9,6.750949,bystander
12,1/8/2025,22:53,Dashboard,Closed,FALSE,1/9/2025 18:00,1/12/2025 5:00,Abeokuta,Domestic Violence,Medium,40,Male,Employer,Counseling,My colleague came to work today with a swollen eye. She said she fell but I do not believe her. I am reporting because I am concerned for her.,TRUE,1/9/2025 23:00,Abeokuta,high,gps,7.126714,23.6,3.348536,bystander
13,1/9/2025,0:51,Mobile App,Ongoing,FALSE,1/10/2025 4:00,1/12/2025 8:00,Bauchi,Child Abuse,Critical,35,Female,Relative,Counseling,My teacher beats me with a cane almost every day for small mistakes. I have marks on my back and legs. I am afraid to go to school.,TRUE,1/10/2025 7:00,Bauchi,high,gps,10.311407,23.9,9.872718,victim
14,1/9/2025,16:04,Dashboard,Ongoing,FALSE,1/10/2025 17:00,1/11/2025 14:00,Kano,Domestic Violence,High,53,Male,Neighbor,Counseling,My colleague came to work today with a swollen eye. She said she fell but I do not believe her. I am reporting because I am concerned for her.,FALSE,,Kano,high,gps,11.972167,14.6,8.593423,bystander
15,1/10/2025,2:39,Community Center,Ongoing,TRUE,1/10/2025 17:00,1/13/2025 16:00,Jos,Domestic Violence,High,70,Male,Relative,Medical Care,I witnessed the man beating his wife in the compound. She fell down. She told me not to report but I am very worried about her safety.,FALSE,,Jos,low,manual_entry,9.905741,356.8,8.812945,bystander
16,1/10/2025,10:06,Dashboard,Ongoing,TRUE,1/10/2025 8:00,1/11/2025 22:00,Onitsha,Domestic Violence,Critical,14,Female,Guardian,Legal Aid,My colleague came to work today with a swollen eye. She said she fell but I do not believe her. I am reporting because I am concerned for her.,TRUE,1/10/2025 16:00,Onitsha,medium,gps,6.153554,26.9,6.754052,bystander
17,1/10/2025,20:30,Mobile App,Ongoing,FALSE,1/10/2025 12:00,1/13/2025 5:00,Onitsha,Domestic Violence,Medium,26,Female,Employer,Medical Care,My husband threatened to kill me if I told anyone. I have bruises on my arms and face. I left the house with my children and I need help urgently.,FALSE,,Onitsha,high,gps,6.099305,26,6.831889,victim
18,1/1/2025,7:55,Mobile App,Closed,FALSE,1/2/2025 0:00,1/2/2025 21:00,Kano,Domestic Violence,Critical,8,Male,Relative,Legal Aid,I was passing by and saw a man dragging a woman by the hair into a house. She was crying. Other people just walked past. I had to report this.,TRUE,1/2/2025 18:00,Kano,medium,gps,12.048763,28,8.62284,bystander
19,1/11/2025,23:32,Mobile App,Ongoing,FALSE,1/11/2025 2:00,1/11/2025 17:00,Bauchi,Domestic Violence,Medium,7,Female,Employer,Legal Aid,"This has been happening for two years. I finally found the courage to report. He controls everything — money, movement. I need support to leave.",FALSE,,Bauchi,high,gps,10.296261,11,9.803967,victim
20,1/12/2025,7:46,Hotline,Ongoing,FALSE,1/12/2025 6:00,1/12/2025 17:00,Uyo,Sexual Assault,Critical,44,Female,Employer,Legal Aid,I found my younger sister crying and she told me what happened to her. She does not want our parents to know. I am reporting because she needs help.,FALSE,,Uyo,low,manual_entry,5.056123,107.8,7.906815,bystander
21,1/14/2025,15:10,Mobile App,Closed,FALSE,1/14/2025 17:00,1/17/2025 13:00,Lagos,Domestic Violence,High,60,Female,Partner,Medical Care,He came home drunk and started hitting me. My children were watching. I am hiding with them in the backyard. Please come quickly.,TRUE,1/15/2025 13:00,Lagos,high,gps,6.486604,28.2,3.378718,victim
22,1/14/2025,19:23,Hotline,Ongoing,FALSE,1/14/2025 20:00,1/17/2025 0:00,Kaduna,Domestic Violence,Critical,38,Female,Teacher,Counseling,I live next door and I can hear screaming almost every night. Tonight I saw her running out with blood on her face. I called for help on her behalf.,FALSE,,Kaduna,medium,manual_entry,10.463939,454.8,7.457432,bystander
23,1/14/2025,22:34,Hotline,Closed,FALSE,1/14/2025 16:00,1/15/2025 21:00,Owerri,Sexual Assault,Critical,12,Female,Spouse,Medical Care,I was attacked on my way home from work last night. A man I did not know forced himself on me. I am at my friend's place. I need help and medical attention.,TRUE,1/14/2025 19:00,Owerri,low,manual_entry,5.459478,314.8,7.049552,victim
24,1/15/2025,12:21,Dashboard,Closed,TRUE,1/16/2025 22:00,1/17/2025 6:00,Owerri,Domestic Violence,High,32,Female,Guardian,Counseling,"This has been happening for two years. I finally found the courage to report. He controls everything — money, movement. I need support to leave.",TRUE,1/17/2025 6:00,Owerri,high,gps,5.464771,26.5,7.035307,victim
25,1/15/2025,22:28,Mobile App,Ongoing,FALSE,1/15/2025 16:00,1/17/2025 4:00,Abuja,Domestic Violence,Critical,35,Female,Stranger,Legal Aid,I am a neighbour. The woman in the apartment beside mine has been coming out with bruises. She seems too afraid to report herself so I am doing it.,TRUE,1/15/2025 20:00,Abuja,medium,gps,9.081171,28.4,7.367085,bystander
26,1/16/2025,0:13,Mobile App,Closed,TRUE,1/17/2025 7:00,1/19/2025 12:00,Bauchi,Others,Low,41,Male,Stranger,Medical Care,I heard a loud argument followed by screaming from a nearby building. When I went to check I found someone badly hurt. I called for help and I am also reporting here.,TRUE,1/17/2025 14:00,Bauchi,medium,gps,10.362758,15.8,9.871713,bystander
27,1/16/2025,9:39,Community Center,Ongoing,TRUE,1/17/2025 6:00,1/17/2025 13:00,Uyo,Domestic Violence,High,17,Female,Teacher,Legal Aid,My husband threatened to kill me if I told anyone. I have bruises on my arms and face. I left the house with my children and I need help urgently.,TRUE,1/17/2025 17:00,Uyo,medium,manual_entry,5.08165,377.7,7.952283,victim
28,1/16/2025,23:55,Dashboard,Ongoing,FALSE,1/16/2025 13:00,1/17/2025 14:00,Jos,Sexual Assault,Critical,23,Female,Neighbor,Legal Aid,A colleague assaulted me after a work event. I kept quiet because he is my senior and I was afraid. I cannot keep this to myself anymore.,TRUE,1/16/2025 16:00,Jos,high,gps,9.90629,16.6,8.900487,victim
29,1/17/2025,1:35,Mobile App,Ongoing,FALSE,1/18/2025 12:00,1/19/2025 1:00,Jos,Sexual Assault,High,59,Female,Guardian,Counseling,My uncle assaulted me last weekend when everyone else had gone out. I could not scream. I have not been able to eat or sleep since then.,TRUE,1/18/2025 21:00,Jos,high,gps,9.855349,28.2,8.827898,victim
30,1/18/2025,4:37,Dashboard,Ongoing,FALSE,1/19/2025 3:00,1/21/2025 18:00,Onitsha,Domestic Violence,High,17,Female,Relative,Counseling,I witnessed the man beating his wife in the compound. She fell down. She told me not to report but I am very worried about her safety.,TRUE,1/19/2025 10:00,Onitsha,high,gps,6.097323,14.5,6.769533,bystander
31,1/18/2025,10:24,Mobile App,Ongoing,FALSE,1/19/2025 6:00,1/20/2025 19:00,Kaduna,Domestic Violence,Medium,6,Female,Guardian,Legal Aid,I am a neighbour. The woman in the apartment beside mine has been coming out with bruises. She seems too afraid to report herself so I am doing it.,TRUE,1/19/2025 18:00,Kaduna,medium,gps,10.499368,21.5,7.393635,bystander
32,1/7/2025,13:56,Dashboard,Ongoing,FALSE,1/7/2025 13:00,1/9/2025 3:00,Ibadan,Child Abuse,Critical,14,Male,Neighbor,Medical Care,I noticed a child in my neighbourhood with burns and bruises on different parts of her body. When I asked she said her father did it. I am very worried.,TRUE,1/7/2025 14:00,Ibadan,medium,gps,7.410374,6.5,3.932675,bystander
33,1/19/2025,2:16,Mobile App,Closed,FALSE,1/19/2025 4:00,1/21/2025 18:00,Ibadan,Sexual Assault,Critical,45,Female,Partner,Shelter,My uncle assaulted me last weekend when everyone else had gone out. I could not scream. I have not been able to eat or sleep since then.,TRUE,1/19/2025 21:00,Ibadan,medium,gps,7.355593,8.9,3.95127,victim
34,1/6/2025,2:27,Mobile App,Ongoing,FALSE,1/6/2025 5:00,1/6/2025 14:00,Kano,Harassment,High,64,Female,Colleague,Shelter,Three boys from my street harass me every day on my way to school. They block my path and say terrible things. I cannot take it anymore.,TRUE,1/6/2025 9:00,Kano,medium,gps,11.966292,11.2,8.62222,victim
35,1/20/2025,4:35,Community Center,Ongoing,FALSE,1/20/2025 6:00,1/22/2025 12:00,Onitsha,Sexual Assault,Critical,22,Female,Neighbor,Medical Care,I found my younger sister crying and she told me what happened to her. She does not want our parents to know. I am reporting because she needs help.,TRUE,1/20/2025 16:00,Onitsha,medium,manual_entry,6.100255,141.9,6.835689,bystander
36,1/21/2025,2:13,Dashboard,Ongoing,FALSE,1/21/2025 17:00,1/23/2025 20:00,Lagos,Domestic Violence,Medium,43,Female,Relative,Medical Care,He hit me again tonight. I managed to lock myself in the bathroom and call for help. This has been going on for months and I am scared for my life.,TRUE,1/22/2025 4:00,Lagos,high,gps,6.551624,28.2,3.349072,victim
37,1/21/2025,7:33,Dashboard,Ongoing,FALSE,1/22/2025 6:00,1/22/2025 19:00,Uyo,Sexual Assault,High,30,Female,Neighbor,Shelter,My uncle assaulted me last weekend when everyone else had gone out. I could not scream. I have not been able to eat or sleep since then.,TRUE,1/22/2025 10:00,Uyo,high,gps,4.988252,28.3,7.944346,victim
38,1/22/2025,2:34,Dashboard,Closed,FALSE,1/23/2025 0:00,1/24/2025 13:00,Owerri,Domestic Violence,High,6,Female,Relative,Medical Care,He came home drunk and started hitting me. My children were watching. I am hiding with them in the backyard. Please come quickly.,TRUE,1/23/2025 6:00,Owerri,medium,gps,5.504286,22.6,7.056201,victim
39,1/22/2025,8:53,Community Center,Ongoing,TRUE,1/23/2025 12:00,1/25/2025 3:00,Ibadan,Domestic Violence,High,39,Female,Neighbor,Medical Care,He came home drunk and started hitting me. My children were watching. I am hiding with them in the backyard. Please come quickly.,FALSE,,Ibadan,low,manual_entry,7.404627,169,3.904404,victim
40,1/22/2025,11:45,Hotline,Ongoing,TRUE,1/23/2025 12:00,1/24/2025 8:00,Owerri,Domestic Violence,High,33,Female,Employer,Shelter,My colleague came to work today with a swollen eye. She said she fell but I do not believe her. I am reporting because I am concerned for her.,TRUE,1/23/2025 22:00,Owerri,medium,manual_entry,5.469447,141.6,6.994887,bystander
41,1/22/2025,19:23,Mobile App,Closed,TRUE,1/23/2025 8:00,1/24/2025 17:00,Abuja,Domestic Violence,High,16,Male,Employer,Legal Aid,He hit me again tonight. I managed to lock myself in the bathroom and call for help. This has been going on for months and I am scared for my life.,TRUE,1/23/2025 10:00,Abuja,high,gps,9.11281,25.7,7.41093,victim
42,1/22/2025,21:42,Mobile App,Closed,FALSE,1/22/2025 22:00,1/23/2025 15:00,Ibadan,Domestic Violence,Critical,43,Female,Relative,Counseling,My colleague came to work today with a swollen eye. She said she fell but I do not believe her. I am reporting because I am concerned for her.,TRUE,1/23/2025 19:00,Ibadan,high,gps,7.36059,23.5,3.903356,bystander
43,1/23/2025,0:30,Community Center,Closed,FALSE,1/23/2025 1:00,1/23/2025 16:00,Ibadan,Child Abuse,Critical,42,Male,Guardian,Shelter,I work at a clinic. A child was brought in with injuries that are inconsistent with the story the adult gave. I suspect the child is being abused.,TRUE,1/23/2025 4:00,Ibadan,low,manual_entry,7.358598,295.5,3.929518,bystander
44,1/23/2025,5:31,Mobile App,Ongoing,FALSE,1/24/2025 12:00,1/25/2025 7:00,Jos,Domestic Violence,High,56,Female,Teacher,Medical Care,He came home drunk and started hitting me. My children were watching. I am hiding with them in the backyard. Please come quickly.,TRUE,1/24/2025 13:00,Jos,high,gps,9.919461,27.5,8.872056,victim
45,1/23/2025,20:47,Dashboard,Closed,FALSE,1/23/2025 16:00,1/24/2025 6:00,Uyo,Others,Critical,34,Female,Guardian,Medical Care,A group of people attacked me near my house and stole my belongings. I recognised one of them from the area. I am afraid they will come back.,TRUE,1/24/2025 4:00,Uyo,high,gps,5.076421,29.3,7.910021,victim
46,1/24/2025,0:21,Dashboard,Ongoing,TRUE,1/24/2025 11:00,1/25/2025 10:00,Lagos,Domestic Violence,Medium,47,Female,Teacher,Counseling,I am a neighbour. The woman in the apartment beside mine has been coming out with bruises. She seems too afraid to report herself so I am doing it.,FALSE,,Lagos,medium,gps,6.486359,28.1,3.400524,bystander
47,1/24/2025,9:26,Mobile App,Ongoing,TRUE,1/24/2025 18:00,1/25/2025 15:00,Onitsha,Sexual Assault,High,18,Female,Employer,Medical Care,My uncle assaulted me last weekend when everyone else had gone out. I could not scream. I have not been able to eat or sleep since then.,FALSE,,Onitsha,high,gps,6.168879,26.5,6.793128,victim
48,1/24/2025,15:03,Community Center,Ongoing,TRUE,1/25/2025 6:00,1/27/2025 3:00,Lagos,Sexual Assault,Critical,34,Female,Stranger,Medical Care,My friend confided in me that she was assaulted by her boyfriend. She is too ashamed to report herself. I am reporting with her knowledge and permission.,TRUE,1/25/2025 10:00,Lagos,low,manual_entry,6.551497,229.3,3.37858,bystander
49,1/25/2025,14:47,Community Center,Ongoing,FALSE,1/25/2025 18:00,1/27/2025 15:00,Lagos,Harassment,Low,45,Female,Relative,Legal Aid,I have been receiving threatening messages from someone I rejected. He knows where I live and I am very scared.,TRUE,1/26/2025 1:00,Lagos,medium,manual_entry,6.526673,472.7,3.371954,victim
50,1/26/2025,14:14,Mobile App,Closed,TRUE,1/26/2025 12:00,1/27/2025 22:00,Enugu,Sexual Assault,High,57,Female,Relative,Counseling,My roommate told me she was assaulted last week. She has been very withdrawn since then. I convinced her to let me report so she can get support.,TRUE,1/26/2025 14:00,Enugu,high,gps,6.410942,13.6,7.507189,bystander
51,1/27/2025,20:15,Dashboard,Closed,FALSE,1/28/2025 15:00,1/31/2025 9:00,Enugu,Sexual Assault,High,50,Female,Spouse,Counseling,A colleague assaulted me after a work event. I kept quiet because he is my senior and I was afraid. I cannot keep this to myself anymore.,TRUE,1/28/2025 19:00,Enugu,medium,gps,6.411543,9.8,7.560041,victim
52,1/28/2025,1:53,Mobile App,Ongoing,FALSE,1/28/2025 1:00,1/30/2025 20:00,Benin,Domestic Violence,High,30,Female,Guardian,Legal Aid,I have been beaten repeatedly by my partner. Tonight was the worst. I am at a neighbour's house right now. Please send help.,FALSE,,Benin,medium,gps,6.316436,28.5,5.604557,victim
53,1/1/2025,9:57,Hotline,Ongoing,FALSE,1/2/2025 4:00,1/2/2025 13:00,Uyo,Domestic Violence,High,40,Female,Teacher,Shelter,He came home drunk and started hitting me. My children were watching. I am hiding with them in the backyard. Please come quickly.,FALSE,,Uyo,medium,manual_entry,5.078457,348.5,7.887729,victim
54,1/28/2025,10:28,Mobile App,Ongoing,FALSE,1/28/2025 20:00,1/31/2025 13:00,Bauchi,Others,Low,49,Female,Relative,Counseling,A group of people attacked me near my house and stole my belongings. I recognised one of them from the area. I am afraid they will come back.,TRUE,1/29/2025 3:00,Bauchi,medium,gps,10.306838,12.4,9.869755,victim
55,1/28/2025,17:48,Hotline,Closed,FALSE,1/29/2025 3:00,1/31/2025 4:00,Uyo,Harassment,Low,68,Male,Employer,Shelter,A girl in my office has been visibly distressed. I found out she is being harassed by a senior colleague. She is afraid of losing her job so I am reporting.,TRUE,1/30/2025 1:00,Uyo,low,manual_entry,5.01058,327,7.870498,bystander
56,1/29/2025,7:47,Mobile App,Ongoing,FALSE,1/30/2025 12:00,1/30/2025 13:00,Enugu,Others,Medium,29,Female,Guardian,Legal Aid,I heard a loud argument followed by screaming from a nearby building. When I went to check I found someone badly hurt. I called for help and I am also reporting here.,TRUE,1/30/2025 16:00,Enugu,medium,gps,6.437375,20.2,7.512522,bystander
57,1/29/2025,18:33,Mobile App,Closed,TRUE,1/30/2025 5:00,2/1/2025 14:00,Owerri,Child Abuse,Critical,5,Female,Teacher,Legal Aid,My uncle has been touching me in ways that make me uncomfortable. I told my mother but she did not believe me. Please help me.,TRUE,1/31/2025 3:00,Owerri,high,gps,5.52657,24.8,7.064112,victim
58,1/29/2025,18:56,Community Center,Ongoing,FALSE,1/29/2025 19:00,2/1/2025 13:00,Uyo,Sexual Assault,Critical,38,Female,Employer,Medical Care,My uncle assaulted me last weekend when everyone else had gone out. I could not scream. I have not been able to eat or sleep since then.,TRUE,1/30/2025 5:00,Uyo,low,manual_entry,5.05104,352.8,7.949946,victim
59,1/29/2025,20:38,Dashboard,Closed,TRUE,1/29/2025 10:00,1/29/2025 14:00,Enugu,Domestic Violence,Critical,38,Female,Neighbor,Shelter,"He threw me against the wall and broke my phone. I borrowed a neighbour's phone to report. I cannot go back home, it is not safe.",TRUE,1/29/2025 12:00,Enugu,high,gps,6.488767,20.3,7.515057,victim
60,1/29/2025,23:11,Hotline,Ongoing,FALSE,1/30/2025 3:00,1/31/2025 4:00,Enugu,Domestic Violence,Medium,55,Female,Partner,Legal Aid,He hit me again tonight. I managed to lock myself in the bathroom and call for help. This has been going on for months and I am scared for my life.,FALSE,,Enugu,medium,manual_entry,6.497656,159.8,7.550334,victim
61,1/30/2025,0:34,Dashboard,Ongoing,FALSE,1/31/2025 4:00,2/1/2025 9:00,Uyo,Harassment,Low,28,Female,Stranger,Legal Aid,My landlord keeps coming to my room uninvited and making uncomfortable advances. I have asked him to stop but it has continued.,TRUE,1/31/2025 16:00,Uyo,high,gps,5.068444,18.9,7.952409,victim
62,1/31/2025,11:15,Dashboard,Closed,FALSE,1/31/2025 9:00,2/2/2025 21:00,Kaduna,Child Abuse,Critical,32,Female,Stranger,Medical Care,I work at a clinic. A child was brought in with injuries that are inconsistent with the story the adult gave. I suspect the child is being abused.,TRUE,2/1/2025 7:00,Kaduna,medium,gps,10.4923,19.9,7.377505,bystander
63,1/31/2025,15:52,Community Center,Ongoing,FALSE,2/1/2025 23:00,2/4/2025 16:00,Ibadan,Sexual Assault,Critical,26,Female,Guardian,Legal Aid,My roommate told me she was assaulted last week. She has been very withdrawn since then. I convinced her to let me report so she can get support.,TRUE,2/2/2025 8:00,Ibadan,low,manual_entry,7.350294,384.6,3.939711,bystander
64,1/31/2025,16:30,Mobile App,Ongoing,FALSE,1/31/2025 17:00,2/2/2025 1:00,Jos,Harassment,Medium,15,Male,Relative,Legal Aid,I have been receiving threatening messages from someone I rejected. He knows where I live and I am very scared.,FALSE,,Jos,medium,gps,9.928301,17.1,8.894373,victim
65,2/1/2025,2:14,Community Center,Ongoing,TRUE,2/2/2025 5:00,2/2/2025 15:00,Uyo,Harassment,Low,39,Female,Neighbor,Shelter,"A man followed me from the bus stop all the way to my street, making sexual remarks. I had to enter a shop to escape him. I am still shaking.",FALSE,,Uyo,medium,manual_entry,4.988395,193.9,7.913875,victim
66,2/1/2025,2:18,Dashboard,Ongoing,FALSE,2/1/2025 10:00,2/2/2025 16:00,Abeokuta,Sexual Assault,High,21,Female,Teacher,Shelter,My roommate told me she was assaulted last week. She has been very withdrawn since then. I convinced her to let me report so she can get support.,TRUE,2/1/2025 13:00,Abeokuta,high,gps,7.139241,15.4,3.334111,bystander
67,2/2/2025,4:44,Dashboard,Ongoing,FALSE,2/3/2025 3:00,2/3/2025 11:00,Owerri,Domestic Violence,High,6,Male,Neighbor,Counseling,"This has been happening for two years. I finally found the courage to report. He controls everything — money, movement. I need support to leave.",TRUE,2/3/2025 10:00,Owerri,medium,gps,5.445587,28.7,7.017062,victim
68,2/2/2025,10:58,Hotline,Ongoing,FALSE,2/3/2025 1:00,2/5/2025 15:00,Port Harcourt,Domestic Violence,High,18,Female,Neighbor,Shelter,My colleague came to work today with a swollen eye. She said she fell but I do not believe her. I am reporting because I am concerned for her.,TRUE,2/3/2025 7:00,Port Harcourt,medium,manual_entry,4.859891,434.1,7.03212,bystander
69,2/2/2025,23:23,Community Center,Ongoing,FALSE,2/4/2025 0:00,2/6/2025 22:00,Ibadan,Domestic Violence,Medium,65,Female,Employer,Medical Care,I was passing by and saw a man dragging a woman by the hair into a house. She was crying. Other people just walked past. I had to report this.,FALSE,,Ibadan,medium,manual_entry,7.379379,148.7,3.967302,bystander
70,1/4/2025,6:27,Dashboard,Ongoing,FALSE,1/4/2025 2:00,1/6/2025 4:00,Lagos,Harassment,Low,54,Female,Stranger,Medical Care,My friend has been showing me messages she is getting from someone who is threatening her. She is too embarrassed to report so I am doing it for her.,TRUE,1/4/2025 13:00,Lagos,medium,gps,6.510763,9.1,3.426378,bystander
71,2/3/2025,6:56,Mobile App,Ongoing,FALSE,2/4/2025 16:00,2/7/2025 13:00,Lagos,Child Abuse,Critical,21,Female,Guardian,Legal Aid,A child came to my shop crying and said his guardian beats him regularly and does not feed him. He begged me to help him. I am reporting immediately.,TRUE,2/4/2025 23:00,Lagos,medium,gps,6.570645,5.7,3.354378,bystander
72,2/3/2025,8:58,Mobile App,Ongoing,FALSE,2/4/2025 6:00,2/5/2025 6:00,Kaduna,Domestic Violence,High,45,Female,Neighbor,Shelter,I witnessed the man beating his wife in the compound. She fell down. She told me not to report but I am very worried about her safety.,TRUE,2/4/2025 13:00,Kaduna,high,gps,10.510225,13.2,7.396588,bystander
73,2/3/2025,10:10,Hotline,Ongoing,FALSE,2/4/2025 3:00,2/5/2025 12:00,Owerri,Domestic Violence,Medium,44,Female,Colleague,Counseling,I am a neighbour. The woman in the apartment beside mine has been coming out with bruises. She seems too afraid to report herself so I am doing it.,FALSE,,Owerri,low,manual_entry,5.462084,500,6.986989,bystander
74,2/4/2025,15:06,Community Center,Closed,TRUE,2/5/2025 18:00,2/6/2025 3:00,Enugu,Sexual Assault,Critical,38,Female,Relative,Medical Care,I was attacked on my way home from work last night. A man I did not know forced himself on me. I am at my friend's place. I need help and medical attention.,TRUE,2/6/2025 15:00,Enugu,low,manual_entry,6.469356,477.3,7.546668,victim
75,2/5/2025,0:20,Community Center,Ongoing,FALSE,2/6/2025 16:00,2/7/2025 12:00,Onitsha,Sexual Assault,Critical,65,Female,Spouse,Counseling,A woman came to my door last night looking terrified. She said she had been assaulted nearby. I let her in and I am reporting on her behalf.,TRUE,2/7/2025 0:00,Onitsha,low,manual_entry,6.097948,259.3,6.764865,bystander
76,2/5/2025,0:31,Community Center,Ongoing,TRUE,2/5/2025 11:00,2/6/2025 2:00,Bauchi,Domestic Violence,Critical,51,Male,Teacher,Shelter,I have been beaten repeatedly by my partner. Tonight was the worst. I am at a neighbour's house right now. Please send help.,FALSE,,Bauchi,medium,manual_entry,10.356627,98.6,9.818156,victim
77,2/5/2025,1:02,Dashboard,Ongoing,TRUE,2/6/2025 13:00,2/8/2025 14:00,Port Harcourt,Child Abuse,Critical,15,Female,Guardian,Legal Aid,My uncle has been touching me in ways that make me uncomfortable. I told my mother but she did not believe me. Please help me.,TRUE,2/7/2025 1:00,Port Harcourt,medium,gps,4.780089,22.3,7.048745,victim
78,2/5/2025,1:04,Dashboard,Ongoing,FALSE,2/6/2025 21:00,2/8/2025 12:00,Port Harcourt,Sexual Assault,Critical,52,Female,Neighbor,Shelter,I was drugged at a party and woke up realising something had happened to me. I am confused and scared. I do not know what to do or who to tell.,FALSE,,Port Harcourt,high,gps,4.864165,24.9,7.024006,victim
79,2/5/2025,16:19,Mobile App,Ongoing,FALSE,2/6/2025 11:00,2/8/2025 18:00,Kano,Domestic Violence,Medium,45,Female,Stranger,Legal Aid,I was passing by and saw a man dragging a woman by the hair into a house. She was crying. Other people just walked past. I had to report this.,TRUE,2/6/2025 13:00,Kano,high,gps,12.019414,5.3,8.618162,bystander
80,1/25/2025,16:24,Hotline,Closed,FALSE,1/25/2025 7:00,1/27/2025 15:00,Bauchi,Harassment,Medium,9,Female,Employer,Medical Care,My friend has been showing me messages she is getting from someone who is threatening her. She is too embarrassed to report so I am doing it for her.,TRUE,1/25/2025 19:00,Bauchi,medium,manual_entry,10.289564,368.3,9.867022,bystander
81,2/5/2025,23:23,Hotline,Closed,FALSE,2/6/2025 23:00,2/9/2025 18:00,Bauchi,Others,High,41,Female,Neighbor,Shelter,My elderly neighbour was beaten and robbed inside her compound. She is hospitalised now. I am reporting on her behalf as her family is being contacted.,TRUE,2/7/2025 20:00,Bauchi,medium,manual_entry,10.302578,259.2,9.857431,bystander
